FDIProj,Year,Source_country,Destination_country,Amount,Sector,Project_type,Ownership_final,Precision_final,Ancmtyear,Opyear_final,xcoord,ycoord
262463,2006,China,South Africa,1.7,Textiles,New,POE,1,U,2006,18.41635,-33.91321
262531,2016,China,Democratic Republic of Congo,60,Metals,New,POE,3,,2018,25.48244,-10.71431
262823,2016,China,Egypt,11.8,Electronic components,New,POE,9,2016,2019,32.72006,24.42844
262867,2016,China,Mauritius,11,Financial services,New,CS,1,U,2016,57.50006,-20.16156
263310,2016,China,Egypt,20000,Real estate,New,POE,3,,U,31.23571,30.04442
263458,2016,China,Zambia,150,Communications,New,POE,1,2016,2017,28.30731,-15.42394
263607,2016,China,Nigeria,6,Communications,New,POE,1,U,2016,3.38856,6.51506
264726,2016,Hong Kong,Ethiopia,10,Textiles,New,POE,9,2016,2017,38.49294,7.06681
265101,2016,China,Nigeria,13.8,Business services,New,CS,1,U,2016,7.42794,9.07156
265188,2016,China,Ethiopia,85,Pharmaceuticals,New,POE,9,2016,2018,38.88294,8.81706
265748,2016,China,Sierra Leone,700,Metals,New,PS,3,,U,-11.79796,8.73894
266103,2016,China,South Africa,11,Financial services,New,CS,3,,U,28.04731,-26.2041
268159,2016,China,Senegal,9.7,Communications,New,POE,1,U,2016,-17.51781,14.74081
268162,2016,China,Cote d'Ivoire,9.7,Communications,New,POE,1,U,2016,-4.00826,5.35995
268604,2016,China,Egypt,9.4,Communications,New,POE,9,2016,U,29.57106,30.85694
269587,2016,China,Cote d'Ivoire,6.8,Business services,New,CS,3,,2016,-4.23334,5.88273
271724,2017,China,Egypt,100,Metals,New,POE,1,2017,2018,32.45231,29.90481
272366,2017,China,Nigeria,100,Automotive OEM,New,PS,1,2017,2017,3.33594,6.61119
272981,2017,China,Egypt,11.8,Electronic components,New,POE,1,2016,2017,31.01774,29.97192
273175,2017,China,Algeria,7.5,Communications,New,POE,1,U,2017,3.14169,36.71894
273176,2017,China,Algeria,7.5,Communications,New,POE,1,U,2017,-0.59206,35.72244
273178,2017,China,Algeria,7.5,Communications,New,POE,1,U,2017,4.05219,36.69956
273179,2017,China,Algeria,7.5,Communications,New,POE,1,U,2017,7.76306,36.91919
273180,2017,China,Algeria,7.5,Communications,New,POE,1,U,2017,6.60506,36.35419
273484,2017,China,Egypt,6.4,Communications,New,POE,1,U,2017,31.01556,29.97306
274375,2017,Hong Kong,Kenya,5.8,Software & IT services,New,POE,1,U,2017,36.88531,-1.26681
274726,2017,China,South Africa,60.5,Communications,New,POE,1,U,2017,28.09031,-26.06456
275416,2017,China,Egypt,58.6,Ceramics & glass,Expansion,CS,1,2017,C-2016,32.31231,29.67181
275446,2006,China,South Africa,1.3,Ceramics & glass,New,CS,1,2005,2006,18.49062,-33.59207
275828,2017,China,Angola,11,Financial services,New,CS,1,2017,2017,13.19056,-8.92306
277014,2017,Hong Kong,South Africa,5.8,Real estate,New,CS,1,U,2017,28.05656,-26.09794
277097,2017,China,Zimbabwe,21.7,Automotive OEM,New,CS,1,2017,2017,28.58544,-20.16131
277134,2017,China,Djibouti,11,Financial services,New,POE,1,U,2017,43.16444,11.56719
277144,2017,China,Nigeria,1500,Textiles,New,POE,3,,U,7.37327,5.12159
277365,2017,China,Egypt,40,Food & tobacco,New,LS,3,,U,31.09938,29.06613
277460,2017,China,Nigeria,19.8,Aerospace,New,POE,3,,U,7.39857,9.07648
277461,2017,China,Nigeria,18.1,Aerospace,New,POE,3,,U,7.39857,9.07648
277745,2017,China,Tunisia,155.5,Renewable energy,New,CS,1,U,2017,10.17981,36.84244
277765,2017,China,Kenya,22.7,Metals,New,POE,9,2017,2019,36.9017,-1.15728
277934,2017,China,Ethiopia,138,Textiles,New,POE,9,2015,2018,38.49291,7.06687
278262,2017,China,Kenya,7.5,Communications,New,POE,1,U,2017,36.81906,-1.28506
278263,2017,China,Kenya,6.4,Communications,New,POE,1,U,2017,36.81906,-1.28506
279180,2017,China,Zimbabwe,6,Chemicals,New,CS,7,,U,29.15486,-19.01544
279397,2017,China,Morocco,250,Rubber,New,CS,3,,U,-6.58902,34.25405
279620,2017,China,Mozambique,4.2,Real estate,New,CS,3,,2018,32.55069,-25.95694
279630,2017,China,Mozambique,3,Real estate,New,PS,3,,U,32.67436,-25.73938
279794,2017,China,Ethiopia,1.4954,Communications,New,POE,1,2017,2019,38.76906,8.98819
280360,2017,China,Liberia,200,Metals,New,POE,3,,U,-9.36731,6.8295
280496,2017,China,Kenya,1984.12,"Coal, oil & gas",New,CS,1,2015,C-2017,40.90331,-2.15356
280898,2017,China,Nigeria,600,Textiles,New,POE,3,,U,8.59194,12.00219
281323,2017,China,Zambia,548,Building materials,New,CS,3,,U,28.64981,-12.99064
282892,2017,China,Guinea,500,Metals,New,CS,3,,C-2018,-14.03931,10.18081
283442,2017,China,Egypt,6.4,Communications,New,POE,1,U,2017,31.30794,30.07631
284127,2017,China,Rwanda,1,Textiles,New,POE,3,,U,30.10443,-1.97058
284750,2017,Hong Kong,Kenya,7.7,Leisure & entertainment,New,POE,1,U,2017,36.88531,-1.26681
286888,2017,China,Tanzania,25,Medical devices,New,POE,3,,U,39.20833,-6.79235
290984,2017,China,Ethiopia,220,Textiles,New,LS,1,2017,2019,41.88219,9.60144
291520,2017,China,Tanzania,1000,Building materials,New,CS,3,,U,39.10232,-5.08888
291575,2017,China,Egypt,8.4,Communications,New,POE,1,U,2017,30.99544,30.79494
291578,2017,China,Egypt,8.4,Communications,New,POE,1,U,2017,32.27606,30.59244
291664,2017,China,Kenya,7,Communications,Co-location,POE,1,U,2017,36.77069,-1.28056
292185,2017,China,Ethiopia,9.08,Automotive OEM,Expansion,PS,3,,2017,38.75776,8.9806
292197,2017,China,South Africa,27.2,Consumer electronics,Expansion,LS,1,U,2017,18.48844,-33.58094
292223,2017,China,Morocco,66,Automotive OEM,New,POE,9,2017,U,-5.81319,35.75594
292226,2017,China,Morocco,39.2,Electronic components,Co-location,POE,3,,U,-5.83395,35.75947
292227,2017,China,Morocco,66,Automotive OEM,Co-location,POE,3,,U,-5.83395,35.75947
292229,2017,China,Morocco,81.4,Non-automotive transport OEM,Co-location,POE,3,,U,-5.83395,35.75947
292424,2017,China,Egypt,60.5,Communications,New,POE,9,U,2017,31.2357,30.04441
293439,2018,Hong Kong,Ethiopia,231.7,Renewable energy,New,POE,7,,U,40.48967,9.145
293686,2018,China,Kenya,10,Business machines & equipment,New,POE,7,,U,37.90619,-0.02356
293837,2018,China,Kenya,5,Industrial equipment,New,LS,1,U,2018,36.88381,-1.33019
294009,2018,China,Malawi,864.9,Real estate,New,POE,3,,C-2018,35.02643,-15.79643
294012,2018,China,Malawi,37.5,Real estate,New,POE,1,2018,U,33.79906,-13.96106
294013,2018,China,Malawi,37.5,Real estate,New,POE,1,2018,U,33.80019,-13.95944
294029,2018,China,Egypt,60,Ceramics & glass,Expansion,CS,1,2018,U,32.28081,29.63726
294033,2018,China,Egypt,32.9,Ceramics & glass,New,CS,9,2018,U,32.30456,29.71344
298126,2017,China,Mozambique,864.9,Real estate,New,POE,1,U,2017,32.60744,-25.95619
298277,2018,China,Morocco,25.4,Automotive components,New,CS,1,2018,2019,-6.40306,34.30056
298371,2018,China,Democratic Republic of Congo,216,Metals,New,POE,3,,U,25.50889,-10.72753
298423,2018,China,Algeria,7.3,Communications,New,POE,1,2018,2018,3.05406,36.73694
298627,2017,China,Kenya,5.8,Real estate,New,CS,1,2017,C-2017,36.80869,-1.27081
298885,2018,China,Egypt,15,Electronic components,New,POE,3,,2018,31.74137,30.14221
299058,2018,China,Zimbabwe,80,Metals,Expansion,CS,1,2018,U,29.83356,-18.91256
299273,2018,China,Uganda,10,Communications,New,CS,7,,U,32.29028,1.37333
299401,2018,China,Algeria,9.4,Communications,New,POE,3,,2019,3.17546,36.69935
299929,2018,China,Tunisia,94.5,Automotive OEM,New,CS,7,,U,9.5375,33.88692
300041,2018,China,Cote d'Ivoire,31.1,Pharmaceuticals,New,POE,7,,U,-5.54708,7.53999
300269,2018,China,Kenya,6.8,Business services,New,CS,2,U,2018,36.78319,-1.28994
300667,2018,China,Egypt,45.9,Automotive OEM,New,PS,7,,U,-77.40749,43.06423
300811,2018,China,Tunisia,0.5,Building materials,New,PS,3,,U,10.18153,36.80649
